Speaker,Workshop,Date,Time
Serena Yeung,https://genai4health.github.io/,2025-12-06,9:45 - 10:00
Sharon Yixuan Li,https://genai4health.github.io/,2025-12-06,10:00 - 10:15
Jimeng Sun,https://genai4health.github.io/,2025-12-06,10:15 - 10:30
Diyi Yang,https://genai4health.github.io/,2025-12-06,10:30 - 10:45
Suchi Saria,https://genai4health.github.io/,2025-12-06,1:00 - 1:15
Vivek Natarajan,https://genai4health.github.io/,2025-12-06,1:15 - 1:30
Haider Warraich,https://genai4health.github.io/,2025-12-06,1:30 - 1:45
Munjal Shah & Subho Mukherjee,https://genai4health.github.io/,2025-12-06,1:45 - 2:00
David Ouyang,https://genai4health.github.io/,2025-12-06,2:00 - 2:15
Tianlong Chen,https://genai4health.github.io/,2025-12-06,2:15 - 2:30

Graham Neubig,https://dl4c.github.io/,2025-12-06,09:20 - 10:00
Sida Wang,https://dl4c.github.io/,2025-12-06,10:00 - 10:40
Dawn Song,https://dl4c.github.io/,2025-12-06,11:30 - 12:10
Liangchen Luo,https://dl4c.github.io/,2025-12-06,14:20 - 15:00
Junyang Lin,https://dl4c.github.io/,2025-12-06,15:20 - 16:00

Riccardo Cadei,https://sites.google.com/view/causcien/about,2025-12-06,8:30 - 9:00
Jason Hartford,https://sites.google.com/view/causcien/about,2025-12-06,9:00 - 9:30
Marinka Zitnik,https://sites.google.com/view/causcien/about,2025-12-06,9:30 - 10:00
Nathan Kallus,https://sites.google.com/view/causcien/about,2025-12-06,13:30 - 14:00
Elizabeth Tipton,https://sites.google.com/view/causcien/about,2025-12-06,14:00 - 14:30
Mihaela van der Schaar,https://sites.google.com/view/causcien/about,2025-12-06,14:30 - 15:00

Yu Cheng,https://lock-llm.github.io/,2025-12-06,9:00 - 10:00
Junyuan Hong,https://lock-llm.github.io/,2025-12-06,10:00 - 11:00
Dawn Song,https://lock-llm.github.io/,2025-12-06,11:00 - 12:00
Huan Liu,https://lock-llm.github.io/,2025-12-06,13:00 - 14:00
Bhavya Kailkhura,https://lock-llm.github.io/,2025-12-06,14:00 - 15:00
Zico Kolter,https://lock-llm.github.io/,2025-12-06,15:20 - 16:20
Charles Fleming,https://lock-llm.github.io/,2025-12-06,16:20 - 17:20
Steven Jiang,https://lock-llm.github.io/,2025-12-06,17:20 - 17:50

Weiyang Liu,https://mathai2025.github.io/,2025-12-06,8:30am - 9:00am
Hannaneh Hajishirzi,https://mathai2025.github.io/,2025-12-06,9:00am - 9:30am
Max Tegmark,https://mathai2025.github.io/,2025-12-06,9:30am - 10:00am
Leonardo de Moura,https://mathai2025.github.io/,2025-12-06,10:00am - 10:30am
Aviral Kumar,https://mathai2025.github.io/,2025-12-06,1:00pm - 1:30pm
Weizhu Chen,https://mathai2025.github.io/,2025-12-06,1:30pm - 2:00pm

